"product_name","star","price","classification","website","distinction","description"
"Kurumazushi","","Over 75 USD","Quite comfortable","http://www.kurumazushi.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Mimicking Tokyo's tucked-away restaurant style, this sushi destination is located up a dark staircase in a midtown building and through a sliding door. The focal point of the room is the sushi bar, where Chef/owner Toshihiro Uezu meticulously prepares each morsel in a minimal space. For the full theatrical experience, brace your wallet and settle into the omakase. The undeniable quality of each ingredient is center stage, displayed simply on glazed pottery. Take a cue from the Japanese and limit conversation: the succession of sashimi and sushi is quick, and all senses should work together without distraction to savor the smooth, buttery fatty tuna, Spanish mackerel (with its lightly blistered skin), pearly white sea bream, and rich unagi."
"Gotham Bar and Grill","One  Star","50 - 75 USD","Very comfortable","http://www.gothambarandgrill.com","One Star • High quality cooking, worth a stop","“Reliability” may be not be the sexiest adjective with which to describe a restaurant but that is exactly what you can expect from Gotham Bar and Grill. Whether you’re hosting family, entertaining clients or just out with friends, this is a restaurant where you know you don’t have to worry about it matching up to your hopes and expectations. The large, warmly lit room comes with just the right amount of glamour to add to any sense of occasion and is helmed by a personable team who make every diner feel like they’re in safe hands. This is also the type of establishment that exudes New York from its every pore—and is ideal for those for whom eating out is a visceral pleasure, rather than something to be photographed, posted and blogged. The cooking walks a pleasing line between comforting and creative and never feels faddish or contrived. In a refreshing break from current mores, dishes are more about flavor than presentation-and their size bears witness to the largesse of the kitchen. The miso-marinated black cod may look daunting when it arrives but is effortlessly easy to eat; the peanut butter sundae balances sweetness and saltiness in a joyful concoction of creaminess."
"db Bistro Moderne","","50 - 75 USD","Quite comfortable","http://www.dbbistro.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Chef Daniel Boulud's midtown canteen is fashioned by Jeffrey Beers and dons a contemporary demeanor. The front lounge is abuzz with post-work and pre-theater gaggles, while well-behaved crowds in the back are seated in a walnut-paneled space dressed with mirrors and black-and-white photography. Like its setting, the menu is inventive and unites classic bistro cooking with market-inspired creations. That lush pâté en croute is a buttery pastry encasing layers of creamy country pâté, guinea hen, and foie gras, dressed with huckleberry compote, toasted pine nuts, and pickled enoki mushrooms. Wild rice-crusted fluke presented with Hawaiian blue prawn and sauce Américaine further demonstrates the kitchen's contemporary leanings."
"Cosme","","Over 75 USD","Quite comfortable","http://www.cosmenyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Chef Enrique Olvera's Cosme is dressed in a hip and urbane style that is perfectly suitable for its location. Of course, while the uni tostada is reason enough to visit this contemporary space, the sleek bar up front pouring a litany of stirring cocktails is yet another. Then add in the roomy dining room and soft lighting to its playful and modern Mexican cuisine, and you have quite a winning formula. One glance at the menu will also tell you why this kitchen is so beloved. A tempting tamal filled with broccoli purée and peppery arugula or crisped-skin duck carnitas served in a cast-iron skillet-this cooking is clever, and, at times, surprisingly delicate. Even desserts, like a pecan tart with salt-and-pepper ice cream, offer remarkable bursts of flavor."
"Bin 5","","25 - 50 USD","Quite comfortable","http://www.bin5nyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","At this intimate bistro in Rosebank, dinner comes with a view of the Manhattan skyline. Complete with teardrop chandeliers and exposed brick, Bin 5's romantic setting has long drawn locals seeking good food and quiet conversation (plus that fantastic panorama!). The playful menu-complete with solid daily specials-may reveal a perfect pan-seared and golden-brown pork loin, set atop slices of pickled red and green peppers and surrounded by a generous amount of pan sauce made from prosecco and vinegar. Then, cauliflower florets are pulsed to form couscous-like beads and cooked in the style of fried rice, studded with veggies and seasoned by soy. A tall wedge of pistachio-walnut cake dusted with powdered sugar is a light, fluffy and fitting finale."
"Bevy","","50 - 75 USD","Very comfortable","http://www.bevynyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Nestled inside the luxe Park Hyatt hotel, just across from Carnegie Hall, Bevy is a sultry rebuttal to the gray hustle-bustle of midtown. Inside, you’ll find a private-feeling dining room, where the magnanimous staff puts customers at ease with effortless service. Next door, a lively lounge offers some pre- or post-dinner fun. The kitchen doles out an expansive roster of dishes for its well-heeled patrons. While some go for the house specialty (a delicious roast chicken for two), others may opt for more hearty, upscale entrées like Maine lobster, rib eye, or Mangalitsa pork collar. Don't miss the Diver scallops though, served with Romesco sauce and a verdant watercress oil; or seasonal vegetables, highlighted in their own section of the menu."
"Beach Bistro 96","","Under 25 USD","Comfortable","http://www.beachbistro96.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Helmed by Brazilian-born chef Carlos Varella and his wife, former model Andressa Junqueira, this tiny orange shack perched on the edge of the Atlantic feels more like Bahia than Rockaway Beach. Once an outer borough no-man's land in steady state of decline, the seaside Queens nabe-now a summertime destination for surfers and hipsters alike-is finally having its day in the sun. Beach Bistro 96 is basking in that glow with a decidedly laid-back vibe, walls lined in banana leaf print paper, and pristine, simple food that celebrates Brazil in all of its delicious glory. Don't head back to the surf without sampling the feijoada, a stew-like specialty bursting with pork and black beans; or the pasteis, golden-fried empanadas filled with tasty ground beef."
"Bell Book & Candle","","50 - 75 USD","Quite comfortable","http://www.bbandcnyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Funky, relaxed, and locally minded, the idea behind this farm-to-table style of dining might seem overdone if the cooking here wasn't so good. Enter carefully down a steep set of stairs to find low ceilings, large canvas artwork, and comfortable seating that lets you settle in and ponder just how very local the lettuce can be (answer: the rooftop). In fact, much of the produce here was harvested from their aeroponic rooftop gardens, while the rest is sourced from local purveyors. From start to finish, the American fare is consistently pleasing. Highlights include crispy fried P.E.I. oysters with jalapeño-buttermilk dressing, thick and juicy grilled sausage with house pickles and flatbread, and gooey chocolate brownies with pistachio ice cream."
"Beccofino","","25 - 50 USD","Comfortable","http://www.beccofinorestaurant.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Beccofino is an earnest neighborhood darling that is never taken for granted. Inside, string lights, exposed brick, and colorful, life-sized posters fashion a rustic bistro setting for indulging in their Italian-American favorites (with plenty of bread for sopping up sauces). Expect meals to be well-paced and the dedicated staff to ensure that everything is made to your liking. Some dishes stray from being genuinely Italian but are nonetheless popular and surprisingly good, like seafood-stuffed manicotti topped with a generous amount of shrimp bisque and mild mozzarella. A crowd-pleasing chicken Milanese arrives as an insanely savory cutlet, pounded thin and sautéed, topped with broccoli rabe, chili flakes, spicy tomato sauce, and more melting mozzarella."
"Beaubourg","","Over 75 USD","Quite comfortable","http://www.beaubourgnyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Talk about a room with a view. As part of the French market, Le District, Beaubourg sits on the banks of the Hudson, facing a wide promenade and a beautiful row of yachts. Diners linger over crisp French wine and excellent cheeses, soaking in the scene. It's a picture postcard in the making, but this brasserie is more than just a pretty face. Start with phenomenal house-made charcuterie-from the velvety foie gras to the dense terrines and creamy pâté de campagne, everything is luscious. The wonderful steak tartare, dressed with anchovy, briny capers, and a tiny, quivering quail egg, arrives with crispy pommes gaufrettes; and entrées like perfectly roasted chicken and delicate Dover sole in lemon butter make for a refined and elegant finish."
"Battersby","","25 - 50 USD","Comfortable","http://www.battersbybrooklyn.com","The Plate • Fresh ingredients, carefully prepared: a good meal","This intimate Smith Street stunner is the domain of Co-chefs Joseph Ogrodnek and Walker Stern. The tiny kitchen at the back of the minimally decorated room belies the abundance of brilliance delivered by the short and sweet menu. Caserecci tossed with petite, al dente cauliflower florets, briny capers, sweet currants, and a showering of crunchy breadcrumbs is a treat. Choosing the smaller portion size allows for more room to enjoy the lamb duo-rare seared loin and slow-braised belly-composed with a chickpea-and-piquillo pepper stew slicked with delicious lamb jus. For dessert, the chocolate mille-feuille with mint ganache and Fernet Branca whipped cream is like a Thin Mint made by some very talented and very sophisticated Girl Scouts."
"Bâtard","One  Star","50 - 75 USD","Quite comfortable","http://www.batardtribeca.com","One Star • High quality cooking, worth a stop","239 West Broadway will be a familiar address to those who know their restaurants as it has hosted a number of seminal establishments over the years—namely Montrachet and Corton.  Drew Nieporent’s Bâtard restaurant is now firmly in situ and once again we have a talented chef making waves in TriBeCa. Chef Markus Glocker’s cooking is very precise and his dishes look quite delicate on the plate. But like a good featherweight they pack more of a punch than you’re expecting. You’ll even notice his Austrian roots in evidence in some of the dishes, such as short rib and tafelspitz terrine, or the Granny Smith and sweetbread strudel. The room is comfortable and neat and the atmosphere grown-up yet animated. When it comes to service though, it appears that the restaurant has mistaken informality for indifference as it lacks coordination or direction. So you may need to remind yourself that you're here primarily for the food. But that food is very good indeed."
"Barney Greengrass","","Under 25 USD","Comfortable","http://www.barneygreengrass.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Bagels and bialys reign supreme in this culinary institution, set amid a culturally rich stretch dotted with synagogues and purveyors of authentic deli delights. Not all are created equal, though, and little details make all the difference inside this sturgeon king, lauded for its weathered décor featuring muraled walls, a storied past, and service that is as authentically NY as can be. It's the sort of spot families flock to for brunch-imagine a triple-decker (tongue, turkey, and Swiss cheese) on rye, paired with a pickle, of course. Whether you take-out or eat-in, items like chopped liver with caramelized onions and boiled egg are sure to sate. Finish with a black-and-white cookie, rugelach, or rice pudding, which are all local faves and fittingly so."
"Barbuto","","25 - 50 USD","Quite comfortable","http://www.barbutonyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","When New Yorkers dream of living in the West Village, Barbuto has a place in that dream, too. Springtime lunches with garage doors open to the sidewalk, and a feast of refined, simple dishes have earned Jonathan Waxman a devoted following in a neighborhood already full of charming restaurants. Casually professional service and the dimly lit dining room's dose of California cool enhance the experience. Barbuto's roast chicken deserves its legendary status, but other dishes tempt too. A cavolo nero salad of thinly sliced black kale and crunchy breadcrumbs tossed in a creamy dressing of anchovies and pecorino puts the average kale salad to shame. Linguini is then coated with black pepper, egg, pancetta, and cheese in one indelible plate of carbonara."
"Barbetta","","50 - 75 USD","Very comfortable","http://www.barbettarestaurant.com","The Plate • Fresh ingredients, carefully prepared: a good meal","It doesn't get more old-world New York than this iconic Restaurant Row institution. Opened in 1906, Barbetta is a testament to proper dining out: men are required to don dinner jackets, outerwear is mandatorily checked, and a brigade of starched servers flit about the hushed and gilded surrounds. Perhaps unsurprisingly, the impossibly romantic patio has been the backdrop for countless marriage proposals. The kitchen's Northern-influenced specialties are listed on thick cardstock, and each selection is highlighted by the year of its addition to the menu. Linguine with pesto alla Genovese is as scrumptious today as it was in 1914; while luscious rabbit alla Piemontese, dating back to the Clinton era and braised in white wine and lemon, is equally divine."
"Barawine","","25 - 50 USD","Quite comfortable","http://www.barawine.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Amid the leafy, brownstone-lined Mount Morris Park Historic District, Barawine is an inviting dining room overseen by Fabrice Warin (formerly the sommelier at Orsay). This eye-catching space entices Lenox Avenue passersby to step in, sip and sup, either perched at the bar area's communal table or seated in the quieter, more intimate back dining room. Whitewashed walls attractively double as wine storage throughout. The crowd-pleasing menu defies classification and embraces many influences. Quinoa salad with tofu and seaweed will please the disciplined, while mac and cheese loaded with béchamel, Gruyère, and diced ham calls out to more indulgent palates. Pan-seared branzino with aromatic herbs and a drizzle of balsamic is a treat for all."
"Barano","","50 - 75 USD","Quite comfortable","http://www.baranobk.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Hot off the success of his time at Rubirosa in SoHo, Chef Al Di Meglio brings his distinctive take on the cooking of Ischia to Barano. The stylish stallion sits at the base of a new residential development, just a stone's throw from the East River. Inside, you'll find a smart décor featuring sepia mirrors, polished tables, and columns lined in pearly mosaic tiles. The vibrant bar, fully open kitchen, and wood-burning oven add to its appeal. Everything here is executed with great care, but the pasta and pizza are particularly noteworthy. Sensational nettle tortellini are tucked with mushrooms and bathed in a purée of mild spring garlic ramps and sweet peas; while tender bucatini are twirled with an irresistible rabbit ragù."
"Bar Uchū","One  Star","Over 75 USD","Quite comfortable. Our most delightful places","http://www.uchu.nyc","One Star • High quality cooking, worth a stop","This unexpected culinary diamond lies hidden behind a blonde wood door and right beside a graffiti-covered playground—its only sign is written in Japanese characters. It all feels very LES at Bar Uchū's kaiseki counter. Once inside, the elegance is unmistakable, starting with the warm towels that begin your meal to the paté de fruits that end it. The intricate beverage program is central to dining here, thoughtfully planned right down to the coasters. There is no open kitchen, but the prime seats are at the bar, where the entertaining bartenders are hand-shaving ice, pouring superb Japanese whiskeys, and filling coups with smoke. Of course, the foremost reason to dine here is for the exceptional kaiseki-style menu. Behind the kitchen's closed doors, Chef Samuel Clonts has emerged into this spotlight, straight from his training at Chef's Table at Brooklyn Fare. The cuisine is heavily influenced by Japanese craftsmanship and incorporates a host of ingredients, many of which are grown in their rooftop garden. Luxe highlights include a Siberian sturgeon caviar handroll, Miyazaki Wagyu beef, and Hokkaido uni. Finales also astound by way of a soufflé with warm roasted strawberries and matcha ice cream."
"Bar Primi","","25 - 50 USD","Quite comfortable","http://www.barprimi.com","Bib Gourmand • Inspectors’ favourites for good value","Chef Sal Lamboglia and Chef/owner Andrew Carmellini clearly know what they wanted to do in this kitchen: make excellent Italian (and Italian-American) food with a delicious twist here and surprise ingredient there. The result is a restaurant we would all want to have just around the corner. Great wine, a friendly service team, and two floors of comfortable seating make it easy for guests to pile in, night after night. Start with meatballs, a far cry from the generic kind, stuffed with Fontina and braised until tender in a chunky tomato sugo. Pasta here rivals Italy, especially the spaghetti with small, briny clams and spicy 'njuda crumbles topped with breadcrumbs and parsley. Daily specials are also a delight, as is the simply delicious hazelnut gelato."
"Balthazar","","50 - 75 USD","Quite comfortable","http://www.balthazarny.com","The Plate • Fresh ingredients, carefully prepared: a good meal","As ageless as its beautiful patrons, the brassy and mirrored Balthazar should be called ""quintessentially SoHo"" because it invented the term. One of the benchmark brasseries from serial restaurateur Keith McNally, the attractive space is housed in a former tannery. Those whiffs of leather have been replaced by red awnings, scents of pastries, and an excellent oyster-filled raw bar completing its Parisian transformation. It seems as though every other table is topped with their bestselling steak frites-hardly a value but expertly prepared and served with a heaping side of fries. On the delicate side, sautéed skate is served with sweet raisins and tart capers; while silky beef tartare with shallots, herbs, and Worcestershire spreads just like butta."
"Baker & Co.","","25 - 50 USD","Quite comfortable","http://www.bakernco.com","Bib Gourmand • Inspectors’ favourites for good value","With only a few years on the downtown circuit, this chic charmer is already a bonafide Village sweetheart. Brought to you by the team behind the wildly popular Emporio and Aurora, Baker & Co. is housed in the beloved and much-missed Zito & Sons Bakery-and the interior features a long, welcoming bar, cozy, wood-lined banquettes, as well as a vibrant red-and-white mosaic floor. The kitchen smartly relies on the same formula that put their other outposts on the map: honest, unfussy Italian rendered with a deft hand and deep attention to ingredients. Consider the luscious burrata, paired with pencil-thin roasted asparagus, cured fish roe and a drizzle of salsa verde; or the tender branzino with asparagus, toasted hazelnuts, arugula and chili flakes."
"Bahari estiatorio","","25 - 50 USD","Comfortable","http://www.bahariestiatorio.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Astoria is awash in good Greek food, but Bahari estiatorio still sets itself apart. Hiding behind an unassuming façade, the dining room is clean, generously sized and simple-think exposed red brick, white walls, and tables draped with paper placemats featuring the Greek Isles. Service is friendly and knowledgeable. Everything on the menu here is a temptation, but a collection of traditional casserole dishes under the mageirefta portion of the menu offers the coziest of baked Greek dishes. One example, saganaki methysmeno, arrives bubbling with caramelized kefalograviera cheese and a tomato-red wine sauce. Papatsouki, or tender roasted eggplant stuffed with ground beef and a layer of fluffy caramelized béchamel, is deliciously decadent."
"Babbo","One  Star","Over 75 USD","Quite comfortable","http://www.babbonyc.com","One Star • High quality cooking, worth a stop","While a restaurant can rarely be all things to all people, it should certainly adapt to the various needs and moods of its customers. Come for lunch at Babbo, for example, and there’ll be Stan Getz playing gently in the background to accompany the quiet clinking of cutlery and the soft murmur of conversation. Turn up for dinner with friends and Led Zeppelin or Tom Petty will be the soundtrack to the far more excitable vibe. Mario Batali’s Village stalwart is a thoroughbred now heading inexorably towards its 20th birthday. The reason for its longevity is pretty apparent as soon as you walk in: the place just feels right, everything they do they have practiced, and every need you have and every request you make will be accommodated. It’s also a decidedly handsome space, with the first floor room adorned with fresh flowers and a staircase leading to a bright, raised second level. The menu offers a comprehensive selection of Italian dishes whose rustic appearance belies their skilled creation. The homemade pasta dishes are an obvious strength and the kitchen can show a remarkably light touch when required, especially with certain classic desserts like panna cotta."
"Awadh","","25 - 50 USD","Quite comfortable","http://www.awadhnyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Awadh isn't an ordinary Indian spot, but one that advertises faithful flavors from Uttar Pradesh. This Northern Indian region excels in low- and slow-cooked dum pukht dishes, and the menu reads like a study in authenticity (there's no tandoori chicken in sight). Even the small room, polished and modern, is ideal for the city's well-traveled locals. Top service and table settings further elevate the dining experience here, which begins with aloo chutney pulao or basmati rice scattered with silky potatoes and spiced peas. Couple this with nali ki nihari (perfectly pink lamb in a creamy cardamom-infused curry) or khaas chicken korma rich with nuts for a profound and regal repast. Then cool down over minty pudina raita, and just like that, you've become a regular."
"Bacaro","","25 - 50 USD","Comfortable. Our most delightful places","http://www.bacaronyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Heavy iron candelabras, crumbling stone walls, and communal wooden tables lend a sultry vibe to this underground labyrinth, named for a Venetian bacaro (or counter for casual grazing of snacks and wine). The first floor's marble-topped bar beckons for small bites and a glass of wine, while nooks beneath those low stone ceilings in the downstairs dining room call for a romantic evening over candlelight. Crafted by Frank DeCarlo, the same chef/owner of Peasant in NoLita, Bacaro's menu highlights the best of Venetian cuisine. Bigoli con sugo d'anatra brings together whole-wheat pasta with tender, pulled duck, a tomato-cream sauce, and shavings of salty parmesan. For dessert, the velvety flourless chocolate cake topped with dried apricots, is as decadent as the setting."
"Avant Garden","","50 - 75 USD","Comfortable","http://www.avantgardennyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","This tight but artsy little jewel box of a restaurant, courtesy of Ravi DeRossi, aims to give vegan food some well-deserved polish. Avant Garden's dynamic menu couldn't have arrived at a better time, as New York diners are hungry for more upscale meatless options. This is excellent food that just happens to be vegan. Try the cold, salt-baked sweet potato with puréed watercress, crispy jicama and Meyer lemon; or avocado, paired with white asparagus, crunchy radishes, strawberries, and garlicky grilled ramps. Sheets of pasta are tossed with pesto, tomatoes, French string beans and Kalamata olives. Their thick slices of toast topped with cremini mushrooms, sweet onion marmalade, toasted walnuts and herbs de Provence are destined to become a signature item."
"Avena","","50 - 75 USD","Quite comfortable","http://www.avenarestaurant.com","The Plate • Fresh ingredients, carefully prepared: a good meal","For a modern take on Northern Italian cooking, Chef Roberto Deiaco, of East 12th Osteria and Armani Ristorante fame, is back with Avena. The mood here is fuss-free-a sentiment that's echoed by white and marble décor. But what the atmosphere lacks in flavor, the food makes up for in leaps and bounds. The feast begins with the bread basket and its addictive carta di musica, a tissue-thin flatbread brushed with butter and sprinkled with salt and rosemary to represent musical notes. Those familiar with the chef's talents know that fresh pasta reigns supreme, and the ravioli filled with creamy ricotta and quail egg yolk doesn't disappoint. For the carnivore crowd, Colorado lamb loin with a Castelveltrano olive crust is worthy of a standing ovation."
"Autre Kyo Ya","","25 - 50 USD","Quite comfortable","http://www.autrekyoya.com","The Plate • Fresh ingredients, carefully prepared: a good meal","If you love the popular Japanese kaiseki house Kyo Ya, then you'll really love this hip sibling, Autre Kyo Ya. The inside of the restaurant is warm and homey, and while it's less sophisticated than the elder, it's a lot more fun. The space is lined with cozy banquettes, a bar, and plenty of nooks for intimate conversation. But the real highlight here is the food, a unique collection of Japanese dishes amped up with French influences and cooking techniques-think pâté de Campagne; a crispy cauliflower with spicy peanut sauce; and Berkshire pork belly Kamadaki rice pot in a garlic-ginger sauce. Other highlights include chilled corn soup, bobbing with tender edamame and laced with leek oil; and the terrific goma tofu ""cocktail"" in a bonito-seaweed broth."
"Aurora","","25 - 50 USD","Comfortable","http://www.aurorabk.com","The Plate • Fresh ingredients, carefully prepared: a good meal","A waning sun over the twinkling East River; a chilled glass of Italian white in an ivy-covered garden: these are the details that set your heart in motion at this beloved little neighborhood trattoria. And, that's long before you sink your teeth into their homemade dishes laced with pristine seasonal ingredients. La vita é bella, indeed. Aurora takes Italian cooking back to its rustic roots with simply dressed market greens; impeccably executed pastas; and beautifully seasoned meats and whole fish. A lovely plate of fave e pecorino arrives bursting with fresh fava beans, sharp pecorino, and springy additions like fennel, pea shoots and mint; while a thick tangle of al dente spaghetti is paired with plump shrimp, chili and a touch of mullet roe."
